Country,Broadband Speed Rank,Broadband Mbps,Mobile Speed Rank,Mobile Mbps,As of,Continent
Monaco,1,192.68,,,Jan-22,Europe
Singapore,2,192.01,19,64.92,Jan-22,Asia
Chile,3,189.36,109,15.5,Jan-22,South America
Thailand,4,184.03,56,32.38,Jan-22,Asia
Hong Kong (SAR),5,173.42,38,45.86,Jan-22,Asia
Denmark,6,163.6,8,87.11,Jan-22,Europe
Macau (SAR),7,156.73,35,47.56,Jan-22,Asia
China,8,155.79,9,85.83,Jan-22,Asia
United States,9,143.76,21,62.47,Jan-22,North America
Spain,10,134.19,49,35.59,Jan-22,Europe
Romania,11,127.07,52,33.8,Jan-22,Europe
Liechtenstein,12,118.19,,,Jan-22,Europe
New Zealand,13,113.14,34,49.32,Jan-22,Oceania
Japan,14,112.9,42,42.9,Jan-22,Asia
United Arab Emirates,15,111.79,1,135.62,Jan-22,Asia
Switzerland,16,110.3,15,76.53,Jan-22,Europe
Norway,17,105.61,2,118.44,Jan-22,Europe
Netherlands,18,102.6,5,107.24,Jan-22,Europe
Sweden,19,102.08,23,60.3,Jan-22,Europe
Hungary,20,100.65,44,39.96,Jan-22,Europe
Canada,21,100.06,16,76.32,Jan-22,North America
Portugal,22,99.62,11,80.05,Jan-22,Europe
South Korea,23,99.59,4,109.14,Jan-22,Asia
Kuwait,24,96.93,10,81.33,Jan-22,Asia
Taiwan,25,96.82,28,54.03,Jan-22,Asia
Panama,26,94.51,100,16.71,Jan-22,North America
France,27,94.34,24,56.45,Jan-22,Europe
Andorra,28,92.42,,,Jan-22,Europe
Moldova,29,92.4,53,33.78,Jan-22,Europe
Luxembourg,30,92.1,12,76.82,Jan-22,Europe
Malta,31,90.36,36,47.08,Jan-22,Europe
Finland,32,89.6,20,64.78,Jan-22,Europe
Israel,33,87.98,75,23.74,Jan-22,Asia
Brazil,34,87.52,74,23.84,Jan-22,South America
Poland,35,86.2,46,37.35,Jan-22,Europe
Uruguay,36,85.61,57,32.28,Jan-22,South America
Malaysia,37,84.18,65,26.91,Jan-22,Asia
Belgium,38,81.1,29,52.32,Jan-22,Europe
Lithuania,39,79.81,41,44.11,Jan-22,Europe
